EmployeeNumber,Age,DistanceFromHome,EducationField,Education,Gender,JobLevel,JobRole,MaritalStatus,Department
529,38,27,Medical,5,Female,2,Research Scientist,Married,Research & Development
530,32,3,Life Sciences,2,Male,1,Laboratory Technician,Married,Research & Development
531,40,3,Life Sciences,1,Male,5,Manager,Divorced,Research & Development
532,57,8,Life Sciences,3,Female,4,Sales Executive,Married,Sales
533,31,14,Technical Degree,3,Female,2,Sales Executive,Single,Sales
534,42,3,Marketing,3,Male,3,Sales Executive,Married,Sales
536,29,19,Medical,2,Male,2,Laboratory Technician,Divorced,Research & Development
538,26,5,Medical,3,Male,1,Laboratory Technician,Married,Research & Development
543,53,5,Medical,3,Male,3,Manufacturing Director,Married,Research & Development
544,46,12,Life Sciences,2,Male,1,Research Scientist,Married,Research & Development
546,53,6,Life Sciences,2,Female,4,Manager,Married,Research & Development
547,43,31,Life Sciences,2,Female,2,Research Scientist,Divorced,Research & Development
548,31,4,Life Sciences,3,Female,2,Manufacturing Director,Single,Research & Development
549,61,9,Life Sciences,3,Female,5,Manager,Married,Research & Development
550,47,20,Medical,3,Female,2,Manufacturing Director,Divorced,Research & Development
551,43,30,Technical Degree,4,Female,2,Healthcare Representative,Married,Research & Development
554,25,3,Technical Degree,1,Female,1,Sales Representative,Single,Sales
555,35,8,Marketing,2,Female,1,Sales Representative,Divorced,Sales
556,39,4,Life Sciences,2,Male,1,Laboratory Technician,Married,Research & Development
558,41,4,Life Sciences,4,Female,5,Manager,Married,Sales
560,27,25,Life Sciences,3,Female,1,Research Scientist,Divorced,Research & Development
562,31,5,Life Sciences,3,Male,1,Laboratory Technician,Married,Research & Development
564,30,5,Medical,4,Male,3,Research Director,Married,Research & Development
565,30,27,Technical Degree,5,Female,1,Research Scientist,Married,Research & Development
566,20,4,Technical Degree,2,Male,1,Human Resources,Single,Human Resources
567,31,24,Other,4,Female,3,Sales Executive,Married,Sales
568,58,31,Marketing,3,Male,4,Manager,Divorced,Sales
569,51,31,Life Sciences,4,Male,4,Manager,Married,Research & Development
571,31,4,Medical,3,Female,1,Laboratory Technician,Single,Research & Development
573,61,30,Marketing,3,Female,3,Sales Executive,Married,Sales
574,48,4,Medical,2,Female,2,Manufacturing Director,Divorced,Research & Development
575,47,4,Life Sciences,3,Male,4,Research Director,Married,Research & Development
577,36,24,Life Sciences,3,Male,1,Laboratory Technician,Single,Research & Development
578,55,10,Life Sciences,4,Female,2,Laboratory Technician,Single,Research & Development
579,35,4,Life Sciences,4,Male,1,Research Scientist,Divorced,Research & Development
580,47,12,Marketing,3,Female,3,Sales Executive,Married,Sales
581,32,11,Life Sciences,1,Male,3,Manufacturing Director,Divorced,Research & Development
582,34,17,Medical,1,Male,3,Manager,Married,Research & Development
584,34,12,Medical,1,Male,1,Laboratory Technician,Divorced,Research & Development
585,31,9,Marketing,1,Male,1,Sales Representative,Single,Sales
586,36,18,Life Sciences,3,Male,3,Healthcare Representative,Married,Research & Development
587,32,22,Life Sciences,3,Male,3,Healthcare Representative,Married,Research & Development
590,35,25,Human Resources,3,Female,3,Human Resources,Divorced,Human Resources
591,43,7,Other,2,Male,1,Laboratory Technician,Married,Research & Development
592,37,12,Medical,4,Male,3,Sales Executive,Single,Sales
593,23,6,Technical Degree,1,Male,1,Laboratory Technician,Single,Research & Development
595,49,4,Marketing,5,Female,2,Sales Executive,Married,Sales
597,56,20,Life Sciences,5,Female,4,Manager,Single,Sales
599,42,12,Life Sciences,2,Male,2,Sales Executive,Single,Sales
600,36,3,Marketing,3,Male,2,Sales Executive,Married,Sales
601,41,8,Life Sciences,3,Female,4,Manufacturing Director,Single,Research & Development
602,40,10,Life Sciences,1,Female,1,Laboratory Technician,Married,Research & Development
604,32,4,Life Sciences,1,Male,2,Sales Executive,Single,Sales
605,43,26,Medical,3,Male,3,Manufacturing Director,Married,Research & Development
606,46,4,Other,3,Male,2,Sales Executive,Married,Sales
608,27,19,Life Sciences,4,Female,1,Human Resources,Divorced,Human Resources
611,30,21,Technical Degree,3,Male,2,Manufacturing Director,Divorced,Research & Development
612,34,3,Medical,5,Female,4,Research Director,Divorced,Research & Development
613,32,9,Life Sciences,3,Male,3,Manager,Divorced,Sales
614,19,7,Marketing,3,Male,1,Sales Representative,Single,Sales
615,41,30,Other,3,Male,3,Sales Executive,Divorced,Sales
616,42,4,Other,4,Female,2,Healthcare Representative,Single,Research & Development
618,27,31,Medical,2,Male,2,Sales Executive,Divorced,Sales
620,36,3,Medical,3,Female,2,Sales Executive,Single,Sales
621,35,23,Life Sciences,4,Male,2,Sales Executive,Single,Sales
622,27,26,Technical Degree,3,Male,1,Laboratory Technician,Single,Research & Development
623,38,3,Technical Degree,3,Female,3,Manufacturing Director,Single,Research & Development
624,47,20,Medical,1,Female,3,Healthcare Representative,Married,Research & Development
625,42,4,Life Sciences,5,Female,4,Manager,Married,Sales
626,38,11,Medical,4,Male,3,Sales Executive,Divorced,Sales
630,53,8,Technical Degree,2,Male,2,Research Scientist,Divorced,Research & Development
631,33,13,Other,4,Male,2,Sales Executive,Married,Sales
632,25,26,Medical,3,Male,1,Sales Representative,Married,Sales
634,39,12,Medical,3,Female,2,Healthcare Representative,Married,Research & Development
635,38,3,Life Sciences,4,Female,2,Manufacturing Director,Married,Research & Development
638,50,20,Life Sciences,4,Male,5,Research Director,Divorced,Research & Development
639,25,25,Medical,3,Male,1,Research Scientist,Married,Research & Development
641,27,30,Marketing,2,Male,2,Sales Executive,Married,Sales
643,25,19,Other,2,Male,1,Laboratory Technician,Married,Research & Development
644,51,5,Medical,3,Male,5,Manager,Married,Human Resources
645,26,15,Medical,1,Male,1,Sales Representative,Married,Sales
647,25,9,Life Sciences,3,Female,1,Laboratory Technician,Married,Research & Development
648,31,14,Life Sciences,4,Male,1,Sales Representative,Married,Sales
649,35,3,Life Sciences,2,Male,1,Research Scientist,Married,Research & Development
650,32,15,Medical,4,Male,2,Sales Executive,Divorced,Sales
652,36,27,Other,2,Male,2,Laboratory Technician,Single,Research & Development
653,32,8,Medical,4,Male,2,Sales Executive,Divorced,Sales
655,28,8,Medical,4,Female,1,Research Scientist,Divorced,Research & Development
656,38,4,Marketing,3,Male,2,Sales Executive,Married,Sales
657,21,3,Life Sciences,3,Female,1,Research Scientist,Single,Research & Development
659,43,4,Life Sciences,4,Female,2,Healthcare Representative,Married,Research & Development
661,44,8,Other,4,Male,4,Research Director,Divorced,Research & Development
662,39,3,Life Sciences,1,Female,1,Research Scientist,Single,Research & Development
663,44,11,Medical,5,Male,2,Laboratory Technician,Divorced,Research & Development
664,49,3,Life Sciences,4,Female,4,Manager,Married,Research & Development
665,45,3,Life Sciences,4,Female,2,Human Resources,Single,Human Resources
666,35,16,Technical Degree,3,Female,1,Sales Representative,Divorced,Sales
667,28,4,Marketing,1,Male,1,Sales Representative,Divorced,Sales
669,22,24,Technical Degree,1,Male,1,Sales Representative,Single,Sales
671,45,5,Other,4,Male,5,Manager,Married,Research & Development
675,23,8,Medical,1,Male,1,Research Scientist,Married,Research & Development
677,34,10,Marketing,4,Male,2,Sales Executive,Divorced,Sales
679,33,11,Life Sciences,4,Female,2,Research Scientist,Married,Research & Development
680,31,5,Medical,3,Female,1,Research Scientist,Divorced,Research & Development
682,54,3,Medical,1,Female,2,Sales Executive,Single,Sales
683,35,3,Life Sciences,5,Male,1,Research Scientist,Married,Research & Development
684,46,28,Life Sciences,4,Female,2,Sales Executive,Married,Sales
686,27,8,Life Sciences,3,Female,1,Laboratory Technician,Married,Research & Development
689,38,5,Other,3,Male,3,Manufacturing Director,Married,Research & Development
690,30,5,Medical,2,Female,2,Sales Executive,Married,Sales
691,36,8,Life Sciences,4,Male,2,Research Scientist,Single,Research & Development
692,34,8,Life Sciences,3,Male,2,Healthcare Representative,Divorced,Research & Development
698,55,21,Medical,4,Male,3,Human Resources,Married,Human Resources
699,37,11,Medical,2,Male,2,Manufacturing Director,Divorced,Research & Development
700,28,5,Medical,4,Male,1,Research Scientist,Single,Research & Development
701,21,12,Medical,1,Male,1,Research Scientist,Single,Research & Development
702,34,5,Life Sciences,3,Male,1,Research Scientist,Single,Research & Development
704,36,5,Life Sciences,3,Male,1,Laboratory Technician,Married,Research & Development
705,24,6,Medical,3,Male,1,Research Scientist,Married,Research & Development
707,26,10,Life Sciences,3,Male,2,Sales Executive,Married,Sales
709,39,9,Marketing,4,Female,2,Sales Executive,Single,Sales
710,30,3,Life Sciences,4,Male,1,Research Scientist,Divorced,Research & Development
712,49,4,Marketing,1,Male,2,Sales Executive,Married,Sales
714,28,5,Medical,1,Female,2,Sales Executive,Divorced,Sales
715,38,12,Life Sciences,2,Male,1,Research Scientist,Single,Research & Development
716,51,30,Medical,1,Male,1,Laboratory Technician,Married,Research & Development
717,35,11,Medical,3,Female,3,Healthcare Representative,Single,Research & Development
720,25,5,Life Sciences,2,Female,2,Sales Executive,Single,Sales
721,40,4,Technical Degree,4,Female,2,Healthcare Representative,Single,Research & Development
722,33,12,Marketing,3,Male,2,Sales Executive,Single,Sales
723,51,10,Technical Degree,2,Male,2,Sales Executive,Married,Sales
724,39,3,Life Sciences,4,Female,2,Healthcare Representative,Single,Research & Development
725,28,3,Life Sciences,2,Female,3,Manufacturing Director,Married,Research & Development
727,33,5,Life Sciences,2,Female,3,Research Director,Single,Research & Development
728,48,16,Marketing,4,Male,2,Sales Executive,Single,Sales
729,41,7,Life Sciences,4,Male,3,Sales Executive,Married,Sales
730,54,9,Life Sciences,3,Male,4,Research Director,Married,Research & Development
731,42,12,Human Resources,4,Male,5,Manager,Divorced,Human Resources
732,61,18,Marketing,4,Male,2,Sales Executive,Single,Sales
733,28,12,Life Sciences,2,Male,3,Manufacturing Director,Divorced,Research & Development
734,42,3,Human Resources,3,Male,5,Manager,Married,Human Resources
738,51,10,Marketing,4,Male,1,Sales Representative,Married,Sales
741,29,3,Life Sciences,2,Female,1,Research Scientist,Single,Research & Development
742,37,10,Life Sciences,3,Female,3,Research Director,Married,Research & Development
743,39,3,Life Sciences,3,Female,3,Manufacturing Director,Single,Research & Development
744,45,26,Medical,3,Male,1,Laboratory Technician,Single,Research & Development
746,48,5,Medical,3,Female,4,Sales Executive,Divorced,Sales
747,31,29,Marketing,5,Male,2,Sales Executive,Divorced,Sales
749,30,12,Life Sciences,3,Male,1,Sales Representative,Single,Sales
752,43,21,Medical,3,Male,1,Research Scientist,Divorced,Research & Development
754,44,17,Life Sciences,3,Male,2,Sales Executive,Married,Sales
757,35,10,Medical,2,Female,2,Healthcare Representative,Single,Research & Development
758,24,11,Medical,1,Male,1,Laboratory Technician,Married,Research & Development
760,40,5,Human Resources,3,Female,2,Human Resources,Married,Human Resources
762,57,11,Medical,3,Male,4,Healthcare Representative,Married,Research & Development
763,41,4,Medical,1,Female,1,Research Scientist,Single,Research & Development
764,28,9,Medical,3,Female,2,Healthcare Representative,Single,Research & Development
766,30,12,Marketing,3,Male,1,Sales Representative,Divorced,Sales
769,54,8,Life Sciences,3,Male,2,Laboratory Technician,Single,Research & Development
771,36,4,Life Sciences,4,Female,2,Healthcare Representative,Divorced,Research & Development
772,33,26,Life Sciences,4,Male,2,Laboratory Technician,Married,Research & Development
773,39,4,Medical,5,Male,1,Research Scientist,Married,Research & Development
775,35,10,Life Sciences,5,Female,2,Manufacturing Director,Divorced,Research & Development
776,53,5,Marketing,4,Male,4,Manager,Married,Sales
780,34,3,Other,4,Male,1,Research Scientist,Single,Research & Development
781,26,28,Medical,1,Female,2,Sales Executive,Single,Sales
783,46,4,Technical Degree,2,Male,2,Sales Representative,Single,Sales
784,24,12,Medical,1,Male,1,Research Scientist,Single,Research & Development
785,48,29,Life Sciences,2,Female,2,Sales Executive,Single,Sales
786,35,4,Other,3,Male,2,Sales Executive,Single,Sales
787,56,4,Medical,3,Male,5,Manager,Married,Research & Development
789,37,10,Life Sciences,4,Male,3,Sales Executive,Single,Sales
791,53,21,Medical,4,Male,1,Research Scientist,Married,Research & Development
792,27,3,Life Sciences,2,Female,1,Laboratory Technician,Divorced,Research & Development
793,30,29,Medical,3,Female,2,Healthcare Representative,Married,Research & Development
796,27,10,Technical Degree,3,Male,2,Sales Executive,Single,Sales
797,35,3,Life Sciences,4,Female,1,Research Scientist,Single,Research & Development
799,55,21,Medical,4,Female,2,Manufacturing Director,Divorced,Research & Development
800,28,10,Marketing,1,Male,2,Sales Executive,Married,Sales
802,38,12,Life Sciences,1,Female,1,Research Scientist,Divorced,Research & Development
803,39,4,Life Sciences,4,Female,2,Manufacturing Director,Single,Research & Development
804,35,4,Medical,4,Female,1,Research Scientist,Single,Research & Development
805,36,10,Life Sciences,4,Female,1,Sales Representative,Married,Sales
806,31,3,Life Sciences,3,Male,1,Laboratory Technician,Married,Research & Development
807,41,4,Medical,2,Female,2,Healthcare Representative,Married,Research & Development
808,35,10,Life Sciences,2,Female,2,Sales Executive,Married,Sales
809,43,10,Life Sciences,3,Male,5,Manager,Divorced,Research & Development
811,24,8,Life Sciences,3,Male,1,Laboratory Technician,Married,Research & Development
812,25,11,Life Sciences,3,Male,1,Laboratory Technician,Divorced,Research & Development
813,53,13,Life Sciences,4,Female,2,Laboratory Technician,Married,Research & Development
815,51,4,Medical,3,Male,4,Research Director,Married,Research & Development
816,30,3,Life Sciences,2,Female,1,Laboratory Technician,Married,Research & Development
817,34,9,Medical,3,Male,3,Research Director,Married,Research & Development
819,34,18,Marketing,3,Female,2,Sales Executive,Single,Sales
820,48,4,Other,2,Female,4,Manager,Married,Research & Development
823,37,3,Other,3,Female,2,Manufacturing Director,Married,Research & Development
824,30,25,Life Sciences,2,Male,1,Research Scientist,Married,Research & Development
825,59,4,Life Sciences,4,Male,5,Research Director,Single,Research & Development
826,36,3,Life Sciences,4,Female,1,Research Scientist,Single,Research & Development
827,43,3,Life Sciences,2,Female,2,Manufacturing Director,Married,Research & Development
828,29,4,Medical,4,Male,1,Research Scientist,Single,Research & Development
829,37,15,Human Resources,3,Male,1,Human Resources,Married,Human Resources
830,33,6,Life Sciences,3,Female,2,Manufacturing Director,Married,Research & Development
832,41,18,Medical,4,Male,2,Laboratory Technician,Single,Research & Development
833,31,4,Medical,3,Female,2,Manufacturing Director,Single,Research & Development
834,46,4,Life Sciences,3,Female,1,Research Scientist,Single,Research & Development
836,43,31,Life Sciences,3,Male,2,Manufacturing Director,Married,Research & Development
837,39,14,Life Sciences,3,Male,2,Healthcare Representative,Divorced,Research & Development
838,35,18,Life Sciences,4,Female,1,Research Scientist,Single,Research & Development
840,50,13,Marketing,3,Female,3,Sales Executive,Married,Sales
842,56,4,Medical,1,Male,2,Sales Executive,Single,Sales
843,44,16,Life Sciences,2,Male,4,Research Director,Married,Research & Development
844,28,7,Technical Degree,1,Male,3,Research Director,Divorced,Research & Development
845,36,9,Other,3,Male,3,Manufacturing Director,Single,Research & Development
846,29,4,Marketing,4,Female,2,Sales Executive,Married,Sales
847,35,5,Human Resources,2,Male,1,Human Resources,Married,Human Resources
848,27,7,Medical,2,Female,1,Research Scientist,Married,Research & Development
850,28,5,Medical,3,Male,1,Research Scientist,Married,Research & Development
851,52,28,Marketing,4,Female,4,Manager,Married,Sales
852,45,6,Medical,3,Male,2,Healthcare Representative,Single,Research & Development
854,26,4,Medical,1,Male,1,Research Scientist,Single,Research & Development
855,34,3,Medical,3,Male,2,Sales Executive,Divorced,Sales
856,36,29,Medical,1,Female,1,Research Scientist,Single,Research & Development
857,37,3,Life Sciences,2,Male,2,Sales Executive,Married,Sales
859,33,15,Life Sciences,4,Male,2,Sales Executive,Divorced,Sales
861,31,7,Life Sciences,4,Male,1,Research Scientist,Divorced,Research & Development
862,54,9,Marketing,2,Female,3,Sales Executive,Married,Sales
864,46,11,Marketing,3,Male,3,Sales Executive,Divorced,Sales
865,33,10,Medical,2,Female,2,Research Scientist,Married,Research & Development
867,53,27,Medical,4,Female,4,Manufacturing Director,Married,Research & Development
868,38,18,Marketing,4,Male,2,Sales Executive,Divorced,Sales
869,29,10,Medical,2,Male,1,Human Resources,Divorced,Human Resources
872,23,3,Life Sciences,2,Male,2,Manufacturing Director,Married,Research & Development
874,45,10,Life Sciences,4,Male,1,Laboratory Technician,Married,Research & Development
875,43,4,Medical,1,Male,1,Research Scientist,Single,Research & Development
878,37,10,Life Sciences,3,Male,1,Human Resources,Married,Human Resources
879,26,5,Other,1,Male,2,Sales Executive,Married,Sales
880,36,11,Life Sciences,3,Female,3,Manufacturing Director,Married,Research & Development
881,36,27,Life Sciences,4,Female,1,Research Scientist,Divorced,Research & Development
882,33,3,Life Sciences,3,Male,1,Laboratory Technician,Divorced,Research & Development
885,26,6,Marketing,1,Male,2,Sales Executive,Married,Sales
887,50,3,Technical Degree,3,Female,1,Research Scientist,Married,Research & Development
888,25,6,Life Sciences,1,Male,1,Laboratory Technician,Married,Research & Development
889,33,7,Life Sciences,2,Male,2,Sales Executive,Married,Sales
893,39,11,Marketing,3,Male,1,Sales Representative,Married,Sales
894,43,5,Life Sciences,3,Female,2,Laboratory Technician,Married,Research & Development
895,32,13,Life Sciences,4,Male,1,Research Scientist,Married,Research & Development
896,30,3,Medical,3,Female,1,Sales Representative,Divorced,Sales
897,54,10,Marketing,3,Male,4,Sales Executive,Married,Sales
899,36,27,Technical Degree,3,Male,3,Manufacturing Director,Married,Research & Development
900,38,23,Medical,2,Female,1,Sales Representative,Married,Sales
901,54,25,Life Sciences,4,Female,4,Research Director,Single,Research & Development
902,44,3,Life Sciences,3,Female,2,Healthcare Representative,Married,Research & Development
903,48,4,Marketing,2,Female,2,Sales Executive,Married,Sales
904,38,21,Medical,2,Male,3,Sales Executive,Single,Sales
905,51,4,Life Sciences,4,Male,4,Manager,Divorced,Research & Development
909,40,4,Life Sciences,3,Female,2,Human Resources,Married,Human Resources
910,34,5,Human Resources,2,Male,1,Human Resources,Divorced,Human Resources
911,33,27,Life Sciences,4,Male,1,Laboratory Technician,Single,Research & Development
912,30,9,Medical,1,Female,1,Laboratory Technician,Divorced,Research & Development
913,45,11,Life Sciences,2,Male,1,Research Scientist,Married,Research & Development
916,29,7,Medical,4,Male,2,Sales Executive,Single,Sales
918,59,4,Life Sciences,1,Male,1,Laboratory Technician,Divorced,Research & Development
920,44,10,Life Sciences,3,Female,2,Manufacturing Director,Divorced,Research & Development
922,21,4,Medical,3,Female,1,Sales Representative,Single,Sales
923,22,20,Other,1,Female,1,Research Scientist,Single,Research & Development
924,37,16,Life Sciences,1,Male,2,Healthcare Representative,Married,Research & Development
925,48,4,Life Sciences,4,Female,1,Sales Representative,Single,Sales
926,23,5,Life Sciences,1,Female,2,Manufacturing Director,Married,Research & Development
927,42,4,Life Sciences,4,Female,1,Laboratory Technician,Divorced,Research & Development
930,29,11,Medical,3,Female,1,Research Scientist,Divorced,Research & Development
932,40,8,Medical,3,Male,1,Laboratory Technician,Married,Research & Development
933,28,6,Life Sciences,3,Female,1,Research Scientist,Single,Research & Development
934,35,12,Life Sciences,3,Male,1,Laboratory Technician,Divorced,Research & Development
936,43,16,Medical,2,Female,2,Sales Executive,Single,Sales
939,34,3,Other,4,Male,1,Research Scientist,Single,Research & Development
940,59,7,Technical Degree,3,Female,3,Healthcare Representative,Divorced,Research & Development
941,32,9,Life Sciences,4,Male,1,Sales Representative,Married,Sales
942,36,23,Life Sciences,1,Female,2,Healthcare Representative,Married,Research & Development
944,50,10,Other,2,Female,3,Laboratory Technician,Married,Research & Development
945,49,22,Medical,4,Male,1,Research Scientist,Married,Research & Development
947,32,22,Marketing,2,Female,2,Sales Executive,Married,Sales
949,37,9,Other,4,Male,1,Research Scientist,Single,Research & Development
950,39,3,Technical Degree,3,Female,3,Research Director,Married,Research & Development
951,33,3,Life Sciences,3,Female,1,Laboratory Technician,Married,Research & Development
952,26,21,Marketing,2,Male,1,Sales Representative,Married,Sales
954,41,12,Marketing,4,Male,3,Sales Executive,Divorced,Sales
956,27,3,Medical,3,Male,2,Sales Executive,Single,Sales
957,42,8,Medical,3,Male,1,Laboratory Technician,Single,Research & Development
958,37,4,Medical,4,Male,1,Laboratory Technician,Single,Research & Development
959,20,23,Other,3,Male,1,Sales Representative,Single,Sales
960,21,6,Technical Degree,3,Male,1,Laboratory Technician,Single,Research & Development
961,32,14,Medical,3,Female,2,Healthcare Representative,Married,Research & Development
964,41,11,Medical,4,Male,1,Research Scientist,Divorced,Research & Development
966,33,5,Medical,4,Female,2,Manufacturing Director,Married,Research & Development
967,37,5,Life Sciences,1,Male,3,Sales Executive,Married,Sales
969,34,3,Life Sciences,3,Female,2,Healthcare Representative,Single,Research & Development
970,38,3,Life Sciences,4,Male,3,Sales Executive,Married,Sales
972,46,6,Life Sciences,2,Male,2,Laboratory Technician,Married,Research & Development
974,30,22,Technical Degree,3,Female,1,Sales Representative,Married,Sales
975,36,20,Medical,3,Female,2,Sales Executive,Married,Sales
976,53,3,Life Sciences,2,Male,4,Manager,Married,Research & Development
977,59,4,Technical Degree,3,Male,1,Research Scientist,Single,Research & Development
981,54,4,Medical,2,Male,4,Manager,Divorced,Sales
982,31,10,Other,2,Male,3,Sales Executive,Divorced,Sales
983,39,12,Technical Degree,3,Female,2,Sales Executive,Single,Sales
984,36,5,Life Sciences,4,Male,3,Sales Executive,Divorced,Sales
985,40,4,Life Sciences,5,Male,3,Sales Executive,Single,Sales
986,41,26,Life Sciences,3,Female,4,Sales Executive,Single,Sales
987,48,18,Medical,4,Male,2,Manufacturing Director,Divorced,Research & Development
990,37,10,Technical Degree,4,Male,2,Sales Executive,Divorced,Sales
991,32,11,Medical,2,Male,1,Research Scientist,Single,Research & Development
992,34,19,Life Sciences,3,Male,4,Manager,Single,Sales
994,30,12,Life Sciences,3,Female,1,Research Scientist,Single,Research & Development
995,34,15,Life Sciences,1,Female,1,Research Scientist,Single,Research & Development
996,46,3,Medical,4,Female,1,Laboratory Technician,Divorced,Research & Development
997,51,3,Medical,2,Male,4,Research Director,Divorced,Research & Development
998,34,3,Other,4,Female,2,Healthcare Representative,Married,Research & Development
999,42,11,Medical,3,Male,5,Research Director,Divorced,Research & Development
1001,28,18,Technical Degree,4,Female,1,Laboratory Technician,Married,Research & Development
1002,46,25,Life Sciences,2,Male,2,Laboratory Technician,Married,Research & Development
1003,48,6,Life Sciences,2,Female,2,Sales Executive,Single,Sales
1004,31,24,Life Sciences,3,Female,1,Research Scientist,Married,Research & Development
1005,51,26,Life Sciences,3,Male,4,Manufacturing Director,Married,Research & Development
1006,39,12,Medical,1,Male,1,Research Scientist,Married,Research & Development
1007,47,9,Medical,2,Male,3,Manufacturing Director,Divorced,Research & Development
1009,25,19,Medical,1,Female,2,Manufacturing Director,Divorced,Research & Development
1010,36,16,Other,4,Male,1,Laboratory Technician,Divorced,Research & Development
1011,32,3,Life Sciences,1,Female,2,Manufacturing Director,Married,Research & Development
1012,19,7,Life Sciences,2,Male,1,Research Scientist,Single,Research & Development
1013,55,19,Technical Degree,3,Female,3,Manufacturing Director,Married,Research & Development
1014,36,27,Medical,4,Female,3,Healthcare Representative,Divorced,Research & Development
1015,31,10,Life Sciences,2,Female,3,Research Director,Married,Research & Development
1016,21,13,Medical,3,Female,1,Research Scientist,Single,Research & Development
1017,31,7,Medical,3,Female,1,Laboratory Technician,Single,Research & Development
1018,27,4,Medical,2,Male,2,Manufacturing Director,Married,Research & Development
1019,23,10,Life Sciences,1,Male,1,Laboratory Technician,Married,Research & Development
1022,49,8,Life Sciences,3,Male,2,Healthcare Representative,Single,Research & Development
1024,49,6,Life Sciences,4,Male,3,Healthcare Representative,Single,Research & Development
1025,42,9,Medical,2,Female,2,Manufacturing Director,Single,Research & Development
1026,40,3,Life Sciences,1,Female,4,Manufacturing Director,Married,Research & Development
1027,28,4,Life Sciences,4,Female,2,Manufacturing Director,Married,Research & Development
1028,36,12,Other,3,Male,1,Laboratory Technician,Divorced,Research & Development
1029,43,7,Marketing,2,Male,5,Manager,Married,Sales
1030,51,11,Life Sciences,3,Male,1,Laboratory Technician,Married,Research & Development
1032,60,4,Life Sciences,3,Female,4,Manufacturing Director,Single,Research & Development
1033,38,13,Medical,2,Female,2,Healthcare Representative,Married,Research & Development
1034,56,20,Medical,4,Male,2,Healthcare Representative,Married,Research & Development
1035,42,9,Life Sciences,1,Female,5,Research Director,Divorced,Research & Development
1036,39,5,Life Sciences,4,Male,2,Sales Executive,Single,Sales
1037,27,31,Medical,2,Male,2,Sales Executive,Single,Sales
1038,53,4,Marketing,1,Female,5,Manager,Married,Sales
1039,45,30,Medical,3,Female,4,Sales Executive,Married,Sales
1040,51,3,Life Sciences,3,Female,2,Sales Executive,Married,Sales
1042,37,18,Life Sciences,4,Female,1,Laboratory Technician,Single,Research & Development
1043,40,24,Medical,3,Female,3,Manufacturing Director,Single,Research & Development
1044,34,10,Life Sciences,1,Female,1,Sales Representative,Single,Sales
1045,46,13,Life Sciences,2,Female,4,Manager,Married,Sales
1046,33,31,Medical,4,Female,1,Laboratory Technician,Single,Research & Development
1047,35,3,Marketing,4,Male,2,Sales Executive,Divorced,Sales
1048,60,3,Technical Degree,2,Male,3,Manager,Married,Sales
1049,46,26,Medical,4,Male,1,Human Resources,Single,Human Resources
1050,54,4,Marketing,3,Female,3,Sales Executive,Married,Sales
1052,37,17,Other,3,Male,2,Laboratory Technician,Divorced,Research & Development
1053,27,4,Life Sciences,3,Male,1,Research Scientist,Married,Research & Development
1055,35,12,Life Sciences,4,Female,1,Sales Representative,Married,Sales
1056,29,12,Medical,1,Male,1,Sales Representative,Married,Sales
1060,39,5,Other,4,Male,1,Research Scientist,Married,Research & Development
1061,51,4,Medical,4,Male,5,Research Director,Married,Research & Development
1062,38,5,Other,3,Female,2,Healthcare Representative,Single,Research & Development
1066,41,28,Marketing,3,Male,2,Sales Executive,Married,Sales
1068,27,3,Medical,1,Female,1,Research Scientist,Divorced,Research & Development
1069,47,3,Medical,4,Male,5,Research Director,Divorced,Research & Development
1070,55,4,Life Sciences,4,Female,3,Sales Executive,Married,Sales
1071,57,11,Medical,3,Female,1,Research Scientist,Married,Research & Development
1073,37,14,Medical,5,Female,3,Manufacturing Director,Single,Research & Development
1074,56,4,Medical,1,Male,4,Manager,Single,Research & Development
1076,44,27,Medical,3,Male,3,Sales Executive,Divorced,Sales
1077,21,11,Marketing,3,Female,1,Sales Representative,Single,Sales
1079,22,12,Life Sciences,3,Female,1,Laboratory Technician,Single,Research & Development
1080,47,10,Life Sciences,4,Female,2,Research Scientist,Divorced,Research & Development
1081,52,6,Life Sciences,4,Male,1,Research Scientist,Married,Research & Development
1082,29,26,Technical Degree,2,Male,3,Healthcare Representative,Single,Research & Development
1083,27,3,Medical,2,Male,1,Laboratory Technician,Married,Research & Development
1084,31,22,Other,3,Male,2,Manufacturing Director,Married,Research & Development
1085,42,9,Technical Degree,2,Female,1,Research Scientist,Married,Research & Development
1088,39,19,Life Sciences,1,Female,3,Healthcare Representative,Married,Research & Development
1092,41,22,Technical Degree,4,Male,3,Healthcare Representative,Married,Research & Development
1094,28,10,Life Sciences,5,Male,1,Laboratory Technician,Married,Research & Development
1096,56,4,Life Sciences,1,Male,3,Manufacturing Director,Married,Research & Development
1097,29,12,Other,3,Female,2,Research Scientist,Single,Research & Development
1098,45,3,Medical,2,Male,3,Human Resources,Married,Human Resources
1099,34,7,Life Sciences,3,Male,3,Healthcare Representative,Divorced,Research & Development
1100,36,6,Technical Degree,3,Male,3,Sales Executive,Single,Sales
1101,34,31,Medical,4,Female,2,Research Scientist,Single,Research & Development
1102,29,17,Life Sciences,2,Male,1,Laboratory Technician,Divorced,Research & Development
1103,35,5,Life Sciences,1,Male,2,Healthcare Representative,Single,Research & Development
1105,38,12,Life Sciences,4,Female,2,Sales Executive,Divorced,Sales
1106,26,6,Technical Degree,1,Male,1,Laboratory Technician,Married,Research & Development
